Price,AreaSqFt,Bedrooms,Bathrooms,AgeYears,LotSizeSqFt,GarageSpaces,Stories,Neighborhood,HouseStyle,HasPool,DistanceToCityKm,SchoolRating,Renovated
308700.0,2321.0,5,,31,2686.0,2,3,Industrial Quarter,Craftsman,0,7.7,7.0,0
273900.0,1963.0,4,3.0,4,2328.0,1,1,Elm Street,Townhouse,0,8.6,2.0,0
202400.0,1134.0,3,1.0,44,800.0,3,1,Maple Grove,Ranch,1,9.3,7.0,0
673000.0,2707.0,5,4.0,10,3482.0,2,1,Downtown Loft District,Craftsman,0,0.5,5.0,1
260300.0,1600.0,3,2.0,1,2882.0,2,1,Industrial Quarter,Ranch,0,3.6,5.0,0
428200.0,2161.0,4,3.0,3,,2,2,Maple Grove,Townhouse,0,0.3,6.0,1
162300.0,1047.0,1,1.0,29,1651.0,2,2,Industrial Quarter,Contemporary,1,1.7,4.0,0
177700.0,653.0,1,1.0,36,1751.0,2,3,Downtown Loft District,Craftsman,1,5.6,5.0,0
245200.0,1798.0,4,3.0,44,3405.0,2,1,Maple Grove,Ranch,0,0.3,,1
280200.0,1806.0,4,4.0,1,2347.0,1,2,Maple Grove,Contemporary,0,2.4,2.0,0
546900.0,2077.0,4,2.0,6,4277.0,3,3,Sunset Hills,Colonial,1,0.4,8.0,0
157600.0,711.0,2,1.0,2,1774.0,2,2,Elm Street,Townhouse,0,5.5,5.0,1
617600.0,2379.0,6,4.0,21,2822.0,3,3,Lakeview,Ranch,0,17.3,8.0,1
423100.0,1459.0,2,1.0,3,2179.0,2,1,Downtown Loft District,Craftsman,0,0.4,8.0,1
394800.0,2779.0,6,5.0,12,3964.0,2,2,Industrial Quarter,Ranch,0,3.3,6.0,0
224200.0,2065.0,4,3.0,46,3578.0,2,2,Elm Street,Ranch,0,4.0,5.0,0
373100.0,1808.0,2,,27,1619.0,2,2,Lakeview,Townhouse,0,0.9,6.0,0
542300.0,2511.0,4,4.0,37,4120.0,0,2,Lakeview,Colonial,0,25.3,4.0,1
397000.0,1698.0,4,3.0,28,1760.0,2,1,Lakeview,Craftsman,0,31.6,9.0,0
307400.0,1154.0,3,3.0,0,800.0,2,1,Sunset Hills,Ranch,0,2.9,7.0,0
257400.0,1443.0,2,2.0,14,2064.0,2,3,Maple Grove,Craftsman,0,13.6,9.0,0
352300.0,1483.0,3,2.0,19,1454.0,1,3,Sunset Hills,Ranch,0,9.4,10.0,1
291000.0,2286.0,4,3.0,4,2273.0,2,1,Industrial Quarter,Ranch,0,8.9,5.0,0
495000.0,2439.0,5,4.0,14,3893.0,1,1,Sunset Hills,Craftsman,0,6.8,10.0,0
253500.0,1952.0,3,2.0,1,1918.0,2,1,Industrial Quarter,Townhouse,0,18.7,8.0,0
203500.0,1721.0,3,2.0,4,2714.0,0,2,Industrial Quarter,Craftsman,0,12.0,3.0,0
394500.0,2417.0,5,4.0,11,3399.0,2,1,Oak Park,Ranch,0,22.7,6.0,0
534100.0,2041.0,3,2.0,11,3450.0,2,1,,Craftsman,0,2.4,9.0,1
243800.0,1444.0,2,2.0,11,2287.0,2,3,Elm Street,Colonial,0,3.1,5.0,0
428800.0,2036.0,5,3.0,49,2985.0,2,3,Maple Grove,Craftsman,0,8.5,5.0,1
131300.0,813.0,2,1.0,76,1020.0,0,2,Lakeview,Townhouse,0,13.8,6.0,0
310700.0,1363.0,3,1.0,27,3058.0,3,1,Riverside Heights,Townhouse,0,1.7,5.0,1
365200.0,1940.0,3,3.0,9,2803.0,2,2,Maple Grove,Colonial,0,0.4,5.0,0
361800.0,1281.0,3,3.0,18,800.0,1,3,Downtown Loft District,Craftsman,0,14.0,8.0,0
602600.0,2127.0,5,3.0,1,3316.0,1,2,Downtown Loft District,Colonial,0,5.7,6.0,0
556200.0,2557.0,6,5.0,1,1829.0,1,1,Lakeview,Craftsman,0,2.4,3.0,0
204300.0,1341.0,3,2.0,20,1503.0,1,2,Industrial Quarter,Ranch,0,3.3,7.0,0
228900.0,1423.0,2,2.0,18,2841.0,1,2,Elm Street,Colonial,0,7.7,6.0,1
259700.0,1453.0,2,1.0,39,3334.0,3,1,Sunset Hills,Contemporary,0,9.0,4.0,0
535500.0,2221.0,4,4.0,8,3988.0,1,2,Lakeview,Colonial,1,0.7,,0
229500.0,1427.0,3,2.0,43,1224.0,0,1,Elm Street,Townhouse,0,0.3,8.0,0
318200.0,2185.0,4,3.0,12,4165.0,3,1,Industrial Quarter,Contemporary,0,1.2,6.0,0
526200.0,2247.0,4,4.0,1,3069.0,1,1,Lakeview,Townhouse,0,12.4,10.0,0
311100.0,1889.0,2,1.0,29,2397.0,2,2,Oak Park,Contemporary,0,8.3,7.0,0
522000.0,2777.0,3,2.0,40,4585.0,2,1,Riverside Heights,Contemporary,0,18.8,7.0,0
349100.0,1464.0,4,2.0,6,1357.0,3,2,Lakeview,Townhouse,0,8.4,6.0,0
289400.0,1191.0,3,3.0,25,2959.0,1,1,Lakeview,Colonial,0,14.7,6.0,0
216800.0,994.0,2,1.0,22,2794.0,1,1,Lakeview,Craftsman,0,11.4,7.0,0
523600.0,2588.0,5,3.0,2,2480.0,1,1,Sunset Hills,Craftsman,0,0.3,5.0,0
434700.0,2663.0,4,3.0,1,5372.0,3,2,Industrial Quarter,Contemporary,0,0.9,8.0,1
431700.0,2485.0,6,4.0,25,2590.0,2,1,Oak Park,Ranch,0,6.6,6.0,1
446800.0,1623.0,3,3.0,0,4965.0,2,1,Lakeview,Colonial,1,0.3,8.0,0
481200.0,1957.0,4,3.0,33,2757.0,2,2,Riverside Heights,Colonial,0,9.1,9.0,0
592800.0,1688.0,3,2.0,5,2393.0,2,2,Downtown Loft District,Contemporary,1,0.3,9.0,0
305300.0,1300.0,2,2.0,60,2144.0,3,2,Riverside Heights,Ranch,0,19.8,9.0,0
365300.0,2580.0,5,4.0,13,3720.0,3,1,Maple Grove,Contemporary,0,13.2,7.0,0
637300.0,3137.0,6,5.0,28,3914.0,1,1,Lakeview,Colonial,0,1.0,8.0,1
174600.0,730.0,2,2.0,2,962.0,3,2,Maple Grove,Contemporary,0,9.0,5.0,0
